ID,OLT,Hora,F/S/P,ONT ID,MAC,S/N,RX (dBm),TX (dBm),Status,Primária,Secundária,Porta Sec.,Descrição OLT,Mudanças
9527,95,2025-05-27 09:00:48.298627,0/1/10,4,N/A,4857544334224395,N/A,N/A,offline,7F31,7F31-S3,6,7F31S3 P6,Não
9526,95,2025-05-27 09:00:48.030396,0/1/10,3,38:EB:47:E0:45:10,48575443DB5325A3,-20.65,2.17,online,7F31,7F31-S1,6,7F31S1 P6,Não
9525,95,2025-05-27 09:00:46.722892,0/1/10,2,70:79:90:4D:68:B2,48575443F672253C,-20.45,1.95,online,7F31,7F31-S1,5,7F31S1 P5,Não
9524,95,2025-05-27 09:00:45.354063,0/1/10,1,98:35:ED:08:EB:57,48575443266E649E,-23.01,2.21,online,7F31,7F31-S1,2,7F31S1 P2,Não
9523,95,2025-05-27 09:00:44.029289,0/1/10,0,N/A,48575443DCD46B9B,N/A,N/A,offline,A7F31,A7F31-S3,2,A7F31S3 P2,Não
9522,95,2025-05-27 09:00:42.620159,0/1/9,4,68:CC:6E:DA:1B:13,4857544365E52F9A,-20.7,1.99,online,7F12,7F12-S2,1,7F12S2 P1,Não
9521,95,2025-05-27 09:00:41.379387,0/1/9,3,N/A,48575443D81F43A3,N/A,N/A,offline,7F12,7F12-S8,1,7F12S8 P1,Não
9520,95,2025-05-27 09:00:41.145912,0/1/9,2,N/A,48575443C3628B95,N/A,N/A,offline,A7F12,A7F12-S3-A,3,A7F12S3-A P3,Não
9519,95,2025-05-27 09:00:40.911811,0/1/9,1,N/A,4857544333121C9D,N/A,N/A,offline,A7F12,A7F12-S1,1,A7F12S1 P1,Não
9518,95,2025-05-27 09:00:39.932779,0/1/8,25,N/A,485754431396929E,N/A,N/A,offline,7F112,7F112-S3,6,7F112S3 P6,Não
9517,95,2025-05-27 09:00:39.702016,0/1/8,24,DC:99:14:72:6C:77,485754430B9DDD9D,-23.66,2.05,online,A7F112,A7F112-S7,15,A7F112S7 P15,Não
9516,95,2025-05-27 09:00:38.401267,0/1/8,23,50:6F:77:C5:1C:A1,48575443CDDD839B,-26.57,2.2,online,A7F112,A7F112-S7,14,A7F112S7 P14,Não
9515,95,2025-05-27 09:00:37.132846,0/1/8,22,04:33:89:3B:37:63,48575443B739C39D,-25.08,2.19,online,A7F112,A7F112-S4,3,A7F112S4 P3,Não
9514,95,2025-05-27 09:00:35.889994,0/1/8,21,AC:75:1D:A7:2C:F7,485754437F1D279D,-25.68,2.07,online,A7F112,A7F112-S2,2,A7F112S2 P2,Não
9513,95,2025-05-27 09:00:34.649832,0/1/8,20,AC:75:1D:A8:14:7A,485754437F2EF69D,-23.76,2.1,online,A7F112,A7F112-S3,3,A7F112S3 P3,Não
9512,95,2025-05-27 09:00:33.400174,0/1/8,18,28:B4:48:3C:C1:C3,48575443E6BEE49A,-24.95,2.18,online,A7F112,A7F112-S8,3,A7F112S8 P3,Não
9511,95,2025-05-27 09:00:32.149884,0/1/8,17,CC:BB:FE:EA:A4:6A,48575443ECC5CA9D,-23.98,2.21,online,7F112,7F112-S3,7,7F112S3 P7,Não
9510,95,2025-05-27 09:00:30.911524,0/1/8,16,N/A,48575443FFAABAA6,N/A,N/A,offline,A7F112,A7F112-S7,6,A7F112S7 P6,Não
9509,95,2025-05-27 09:00:30.682968,0/1/8,15,A4:BE:2B:21:93:5A,48575443DEF2AC9C,-25.68,2.23,online,7F112,7F112-S4,8,7F112S4 P8,Não
9508,95,2025-05-27 09:00:29.437785,0/1/8,14,N/A,48575443A76B5482,N/A,N/A,offline,N/A,N/A,N/A,ONT_NO_DESCRIPTION,Não
9507,95,2025-05-27 09:00:29.105109,0/1/8,13,28:B4:48:C8:8E:E2,48575443F2B4CE9A,-23.87,2.21,online,A7F112,A7F112-S7,11,A7F112S7 P11,Não
9506,95,2025-05-27 09:00:27.732524,0/1/8,12,0C:C6:CC:CD:A2:E8,485754439D02989B,-23.66,2.37,online,7F112,7F112-S6,3,7F112S6 P3,Não
9505,95,2025-05-27 09:00:26.452893,0/1/8,11,A0:8C:F8:44:6B:9F,48575443446B9E93,-24.43,2.42,online,7F112,7F112-S7,5,7F112S7 P5,Não
9504,95,2025-05-27 09:00:25.201078,0/1/8,10,04:25:C5:21:1D:AC,48575443CC11CA8A,-23.1,2.18,online,A7F112,A7F112-S7,7,A7F112S7 P7,Não
9503,95,2025-05-27 09:00:23.934701,0/1/8,9,D0:EF:C1:CB:50:F4,485754433A4E5F9D,-25.68,2.29,online,A7F112,A7F112-S3,4,A7F112S3 P4,Não
9502,95,2025-05-27 09:00:22.700774,0/1/8,8,80:B5:75:B5:C4:B4,48575443C508A49C,-24.09,2.0,online,A7F112,A7F112-S8,1,A7F112S8 P1,Não
9501,95,2025-05-27 09:00:21.415294,0/1/8,7,70:79:90:B5:54:D3,485754433DAFCB3B,-23.56,2.39,online,A7F112,A7F112-S2,1,A7F112S2 P1,Não
9500,95,2025-05-27 09:00:20.105291,0/1/8,6,N/A,485754434A34F6B3,N/A,N/A,offline,N/A,N/A,N/A,ONT_NO_DESCRIPTION,Não
9499,95,2025-05-27 09:00:19.836229,0/1/8,5,88:3F:D3:9C:E7:87,48575443137AB88A,-24.31,1.87,online,A7F112,A7F112-S7,4,A7F112S7 P4,Não
9498,95,2025-05-27 09:00:18.479936,0/1/8,4,N/A,48575443A2AB6CA3,N/A,N/A,offline,ADRIELE ALVES DA SILV,N/A,N/A,ADRIELE ALVES DA SILV,Não
9497,95,2025-05-27 09:00:18.124506,0/1/8,3,N/A,485754437D586D9E,N/A,N/A,offline,A7F112,A7F112-S6,2,A7F112S6 P2,Não
9496,95,2025-05-27 09:00:17.834854,0/1/8,2,F4:E5:F2:D5:1C:CE,48575443E08DD4A1,-23.28,2.24,online,A7F112,A7F112-S4,2,A7F112S4 P2,Não
9495,95,2025-05-27 09:00:16.576045,0/1/8,1,48:D5:39:A8:A5:0F,48575443A8A50E82,-26.57,2.18,online,A7F112,A7F112-S7,1,A7F112S7 P1,Não
9494,95,2025-05-27 09:00:15.280681,0/1/8,0,7C:D9:A0:52:52:C5,485754438D5C4FA4,-25.85,2.31,online,A7F112,A7F112-S7,2,A7F112S7 P2,Não
9493,95,2025-05-27 09:00:12.382770,0/1/7,5,A4:C6:4F:62:AE:27,48575443D1F0853B,-26.02,1.9,online,A7F111,A7F111-S2,2,A7F111S2 P2,Não
9492,95,2025-05-27 09:00:11.123624,0/1/7,4,N/A,48575443AEF1929A,N/A,N/A,offline,A7F111,A7F111-S5,3,A7F111S5 P3,Não
9491,95,2025-05-27 09:00:10.894183,0/1/7,3,48:D5:39:A7:69:8E,48575443A7698D82,-21.3,2.0,online,7F111,7F111-S2,1,7F111S2 P1,Não
9490,95,2025-05-27 09:00:09.658813,0/1/7,2,N/A,4857544391E4446E,N/A,N/A,offline,A7F111,A7F111-S7,1,A7F111S7 P1,Não
9489,95,2025-05-27 09:00:09.421750,0/1/7,1,C0:BF:C0:6D:0B:0C,4857544304BB339A,-22.84,1.92,online,A7F111,A7F111-S8,1,A7F111S8 P1,Não
9488,95,2025-05-27 09:00:08.187140,0/1/7,0,N/A,485754439C32483C,N/A,N/A,offline,A7F111,A7F111-S6,1,A7F111S6 P1,Não
9487,95,2025-05-27 09:00:06.615994,0/1/6,14,N/A,48575443FD0FDB3C,N/A,N/A,offline,A8F73,A8F73-S1,2,A8F73S1 P2,Não
9486,95,2025-05-27 09:00:06.386382,0/1/6,11,F8:98:EF:01:C1:60,48575443146F3A9C,-16.23,1.94,online,8F73,8F73-S7,1,8F73S7 P1,Não
9485,95,2025-05-27 09:00:05.156481,0/1/6,10,N/A,4857544327E2799E,N/A,N/A,offline,A8F73,A8F73-S2,4,A8F73S2 P4,Não
9484,95,2025-05-27 09:00:04.928266,0/1/6,9,50:6F:77:C5:45:B6,48575443CDE0AC9B,-18.92,2.29,online,8F73,8F73-S1,3,8F73S1 P3,Não
9483,95,2025-05-27 09:00:03.697627,0/1/6,8,7C:C3:85:4A:EA:1B,485754434AEA1A9E,-19.5,2.01,online,A8F73,A8F73-S7,3,A8F73S7 P3,Não
9482,95,2025-05-27 09:00:02.462582,0/1/6,7,24:A5:2C:5B:16:CE,485754432E306670,-17.07,2.27,online,8f73,8f73-S3,6,8f73S3 P6,Não
9481,95,2025-05-27 09:00:01.227794,0/1/6,6,0C:C6:CC:CD:A3:1C,485754439D029C9B,-16.44,1.94,online,8F73,8F73-S1,6,8F73S1 P6,Não
9480,95,2025-05-27 08:59:59.994336,0/1/6,5,04:33:89:3B:05:1E,48575443B736CE9D,-16.92,2.3,online,8F73,8F73-S2,15,8F73S2 P15,Não
9479,95,2025-05-27 08:59:58.722934,0/1/6,3,N/A,485754439D009E9B,N/A,N/A,offline,8F73,8F73-S1,5,8F73S1 P5,Não
9478,95,2025-05-27 08:59:58.245343,0/1/6,2,7C:C3:85:AF:EB:74,48575443AFEB739E,-17.05,1.96,online,A8F73,A8F73-S3,2,A8F73S3 P2,Não
9477,95,2025-05-27 08:59:56.959507,0/1/6,1,38:EB:47:E0:43:89,48575443DB530EA3,-17.35,2.25,online,8F73,8F73-S2,16,8F73S2 P16,Não
9476,95,2025-05-27 08:59:54.603814,0/1/5,14,FC:8F:7D:3C:EC:55,485754434E0FB19A,-26.99,2.03,online,A7F26,A7F26-S2,2,A7F26S2 P2,Não
9475,95,2025-05-27 08:59:53.361806,0/1/5,12,50:5D:AC:0C:F8:A3,485754435864E39C,-19.06,2.06,online,A7F26,A7F26-S2,5,A7F26S2 P5,Não
9474,95,2025-05-27 08:59:52.060982,0/1/5,10,7C:C3:85:8D:1F:BF,485754438D1FBE9E,-22.14,2.06,online,7F26,7F26-S8,15,7F26S8 P15,Não
9473,95,2025-05-27 08:59:50.784811,0/1/5,9,7C:C3:85:D4:99:E5,48575443D499E49E,-21.55,2.29,online,A7F26,A7F26-S5,1,A7F26S5 P1,Não
9472,95,2025-05-27 08:59:49.328675,0/1/5,8,7C:C3:85:72:61:1B,4857544372611A9E,-20.41,1.88,online,7F26,7F26-S5,2,7F26S5 P2,Não
9471,95,2025-05-27 08:59:47.851933,0/1/5,7,A4:BE:2B:59:DF:FB,48575443E4A66E9C,-27.96,1.94,online,A7F26,A7F26-S8,2,A7F26S8 P2,Não
